Brand,Model Name,Model Image,Weight(g),Width(px),Height(px),ROM(MB),RAM(MB),Battery Capacity(mAh),Price(USD)
micromax,Micromax In note 1,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-note1.jpg,196.0,1080,2400,64000.0,4000.0,5000.0,146.89999999999998
micromax,Micromax In 1b,https://fdn2.gsmarena.com/vv/bigpic/micromax-in-1b.jpg,188.0,720,1600,32000.0,2000.0,5000.0,90.39999999999999
micromax,Micromax Infinity N12,https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n12-.jpg,164.0,720,1500,32000.0,3000.0,4000.0,130.0
micromax,Micromax Infinity N11,https://fdn2.gsmarena.com/vv/bigpic/micromax-infinity-n11-n8216.jpg,164.0,720,1500,32000.0,2000.0,4000.0,117.0
micromax,Micromax Bharat Go,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-go-.jpg,130.0,480,854,8000.0,1000.0,2000.0,57.199999999999996
micromax,Micromax Bharat 5 Pro,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5-pro.jpg,170.0,720,1280,32000.0,3000.0,5000.0,104.0
micromax,Micromax Bharat 5 Plus,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5.jpg,170.0,720,1280,16000.0,2000.0,5000.0,93.6
micromax,Micromax Bharat 5,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-5.jpg,170.0,720,1280,16000.0,1000.0,5000.0,74.1
micromax,Micromax Bharat 2 Ultra,https://fdn2.gsmarena.com/vv/bigpic/micromax-brahat2-q402.jpg,120.0,480,800,4000.0,512.0,1300.0,37.699999999999996
micromax,Micromax Dual 4 E4816,https://fdn2.gsmarena.com/vv/bigpic/micromax-dual-4-e4816.jpg,141.0,1080,1920,64000.0,4000.0,2730.0,247.0
micromax,Micromax Bharat 4 Q440,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-4.jpg,150.0,720,1280,16000.0,3000.0,2500.0,65.0
micromax,Micromax Bharat 3 Q437,https://fdn2.gsmarena.com/vv/bigpic/micromax-bharat-3.jpg,130.0,480,854,8000.0,1000.0,2000.0,58.5
micromax,Micromax Bharat 2+,https://fdn2.gsmarena.com/vv/bigpic/micromax-brahat2-q402.jpg,120.0,480,800,8000.0,1000.0,1600.0,56.49999999999999
